Fraction,Model,PR-AUC,ROC-AUC,Brier Score,ECE
0.01,lr_struct,0.238136889903846,0.8632267146557324,0.0577780664407893,0.0280271213421125
0.01,rf_struct,0.3852428722893855,0.921053617079414,0.0512892925186793,0.0272792213967655
0.01,xgb_struct,0.2916408957480534,0.9035318735617948,0.0607253582461043,0.0397728272730864
0.01,lr_tfidf,0.0866403887518609,0.4931505984237596,0.0623375166198282,0.0384877531915897
0.01,lr_minilm,0.0774812571140339,0.5441256377537163,0.0622798276882366,0.038354527487043
0.01,fusion_tfidf,0.2991802901664444,0.9096147076654304,0.0607770424168391,0.0381112754567136
0.01,fusion_minilm,0.2845603674300833,0.9031304764520032,0.0620754493560431,0.0403541720322964
0.05,lr_struct,0.297359389662184,0.9020661332677108,0.0557305723452731,0.0202065195357719
0.05,rf_struct,0.3905295582527838,0.9237626613669008,0.0555835466774669,0.0340796760847875
0.05,xgb_struct,0.3203845740317328,0.9175654091401952,0.0580963123894768,0.0344463175831522
0.05,lr_tfidf,0.0797597306723833,0.5075902334591457,0.0623175807403492,0.0385127309825919
0.05,lr_minilm,0.0838309471772125,0.5379955764663445,0.0622494712854995,0.0384181305745065
0.05,fusion_tfidf,0.3236843935995537,0.9183200594729786,0.0574383366961506,0.0335240089390556
0.05,fusion_minilm,0.334400444156868,0.9172644249677864,0.0589965858547898,0.0358538916582023
0.1,lr_struct,0.2975924300637632,0.906666420854438,0.0589112938050888,0.0309230012139745
0.1,rf_struct,0.3969401045883668,0.923324613110565,0.0553339293655903,0.0352164612215542
0.1,xgb_struct,0.3402513565910902,0.918914422577568,0.0636282061645675,0.0425653419512623
0.1,lr_tfidf,0.0834202674263623,0.5165154242420291,0.0622713490287243,0.0384963259417032
0.1,lr_minilm,0.0885603840468221,0.5538540641317314,0.0620833764446336,0.0383219629101725
0.1,fusion_tfidf,0.3453500192371959,0.9222706422516724,0.0616516548706481,0.0396284860584244
0.1,fusion_minilm,0.3245088723722147,0.91625038162009,0.0632838665262454,0.0417152712420959
0.25,lr_struct,0.3060821669669866,0.909376466724901,0.0642360421124668,0.0439771951811694
0.25,rf_struct,0.4020785185219007,0.9267213374792758,0.0564012058050677,0.0353614840525982
0.25,xgb_struct,0.3228147742004718,0.917128158755044,0.0659893895464492,0.0457592098400228
0.25,lr_tfidf,0.0872259877223998,0.5390774218887506,0.0622058519798101,0.0383977920232587
0.25,lr_minilm,0.0890291163069481,0.5537340439343863,0.0620719581349411,0.0382684361970722
0.25,fusion_tfidf,0.3120344438358629,0.9172180805351484,0.0713386695606683,0.0505995666399981
0.25,fusion_minilm,0.319239383617145,0.916537954766204,0.0694117360000144,0.0490427422656546
0.5,lr_struct,0.3036484212732825,0.9097234218583296,0.0647849635017988,0.0460059009931959
0.5,rf_struct,0.3995384538092708,0.926833752436393,0.0573565509496512,0.0377895517602547
0.5,xgb_struct,0.3401965943713135,0.9191030257448248,0.0622795960528391,0.0440317956046826
0.5,lr_tfidf,0.086435015716642,0.5444734416862773,0.0621893009814544,0.0383996295017204
0.5,lr_minilm,0.088287853272619,0.5532106404372795,0.0620834717325727,0.0382371633742374
0.5,fusion_tfidf,0.3344699122648087,0.9189470164642588,0.0643096109897087,0.0463967980413661
0.5,fusion_minilm,0.3191798637957472,0.9163828112607532,0.0649546015422016,0.0470827506019425
1.0,lr_struct,0.302715343526944,0.9109921049457964,0.0667443514735467,0.051177942256719
1.0,rf_struct,0.3980773054818824,0.9275491203453212,0.0593921583686136,0.042557524468608
1.0,xgb_struct,0.3292155674059234,0.9174956548274806,0.0612596917595829,0.0423767785822649
1.0,lr_tfidf,0.0893619697324242,0.5422228338102905,0.0621388808493123,0.0383773712798611
1.0,lr_minilm,0.0889160134818018,0.5539119182806073,0.0620754769814196,0.0382570915213643
1.0,fusion_tfidf,0.3244065131334842,0.918152778139932,0.0628854692754717,0.0462456543797031
1.0,fusion_minilm,0.3314399160622632,0.917954311926755,0.0619617179689536,0.0470205301602664
