Held_Out_Site,Model,PR-AUC,FNR,ECE
Plant_1,lr_struct,0.3147481750224878,0.8019704433497536,0.018162412850473528
Plant_1,rf_struct,0.39722723767413703,0.896551724137931,0.014572373021521357
Plant_1,xgb_struct,0.3304185549954574,0.9083743842364532,0.018557848365535982
Plant_1,lr_tfidf,0.051924061817462314,1.0,0.025586537055106554
Plant_1,lr_minilm,0.05096879366170482,1.0,0.025376233547039818
Plant_1,fusion_tfidf,0.33141117104763107,0.9280788177339901,0.015334514346346558
Plant_1,fusion_minilm,0.34783767213180966,0.9064039408866995,0.01652166832315731
Plant_2,lr_struct,0.2964369714782752,0.671306209850107,0.03287621812582897
Plant_2,rf_struct,0.3762638687656624,0.8522483940042827,0.015352419513924999
Plant_2,xgb_struct,0.30911975530426405,0.8308351177730193,0.02046931397663792
Plant_2,lr_tfidf,0.04852520052652137,1.0,0.03201434405388152
Plant_2,lr_minilm,0.0476350836573602,1.0,0.03189646298839102
Plant_2,fusion_tfidf,0.33338389932292706,0.8319057815845825,0.019798506257277578
Plant_2,fusion_minilm,0.3260190911006934,0.8608137044967881,0.01969617338526526
Plant_3,lr_struct,0.36978041380612453,0.8343621399176955,0.01468005042568559
Plant_3,rf_struct,0.35884155635558923,0.8950617283950617,0.014148008149801602
Plant_3,xgb_struct,0.3405897316145172,0.8765432098765432,0.010912614739723369
Plant_3,lr_tfidf,0.038952254887855,1.0,0.02639294462531158
Plant_3,lr_minilm,0.039890307937243144,1.0,0.026120454212625932
Plant_3,fusion_tfidf,0.3599438194877821,0.8796296296296297,0.011877779736823893
Plant_3,fusion_minilm,0.33199434646055415,0.8796296296296297,0.015590126255694071
Plant_4,lr_struct,0.3845747145187788,0.5655172413793104,0.03891182924311023
Plant_4,rf_struct,0.47340084898463336,0.7576354679802956,0.01598700274555231
Plant_4,xgb_struct,0.3905382815434761,0.858128078817734,0.015524080261924858
Plant_4,lr_tfidf,0.05969445011857837,1.0,0.027583678792079513
Plant_4,lr_minilm,0.05959427053188707,1.0,0.02748883659172673
Plant_4,fusion_tfidf,0.4112475412151168,0.8049261083743843,0.017972296784810975
Plant_4,fusion_minilm,0.39980967079079194,0.8216748768472907,0.017428380818571246
Plant_5,lr_struct,0.32913174074310614,0.8013972055888223,0.018351172504234795
Plant_5,rf_struct,0.41609023916390786,0.8792415169660679,0.01058429726230872
Plant_5,xgb_struct,0.37967497472777195,0.8932135728542914,0.0122395500064532
Plant_5,lr_tfidf,0.044538591600687724,1.0,0.024661510236460953
Plant_5,lr_minilm,0.04476201840130316,1.0,0.02447449683381682
Plant_5,fusion_tfidf,0.3737420369879925,0.8862275449101796,0.01078442229012993
Plant_5,fusion_minilm,0.37231247276167206,0.8862275449101796,0.011323891346030861
Plant_6,lr_struct,0.3947763439479954,0.5978260869565217,0.0319593990106974
Plant_6,rf_struct,0.6117693968264254,0.6103678929765886,0.013226012934699992
Plant_6,xgb_struct,0.46772247347093937,0.790133779264214,0.017098818742500476
Plant_6,lr_tfidf,0.08442451418902869,1.0,0.022315596841694374
Plant_6,lr_minilm,0.10034067110600066,1.0,0.02632025798820202
Plant_6,fusion_tfidf,0.47043856032062986,0.8001672240802675,0.015429751348252967
Plant_6,fusion_minilm,0.5114317444662816,0.7792642140468228,0.018778322962891142
