Word,Weight
high,0.8889306900035311
thermal,0.714100248409322
vibration,0.6788776687803011
temperature,0.6569234033396423
detected,0.6501720511657323
load,0.5984143278499463
inspection,0.5646223532897229
bearing,0.5324740519728682
noise,0.5246176658865356
increase,0.5182282986164045
minor,0.512460080669334
shows,0.48005140270916813
check,0.47121929922883427
action,0.46292361562033907
wear,0.44536381627966015
acoustic,0.41392086844430565
pattern,0.41392086844430565
unusual,0.41392086844430565
immediate,0.39984595155620034
elevated,0.3924417699777023
checked,0.38138487560138584
suspected,0.36798322088449464
sensor,0.3679575702795467
normally,0.34872131011184293
scan,0.3365545941276567
operation,0.3318146680927972
monitor,0.3283871345989548
casing,0.3166300429497528
replacement,0.31227064688419875
housing,0.3027287935841773
levels,0.3027287935841773
seals,0.260712572734231
fluid,0.25202682803164067
issue,0.24675341349652347
log,0.23633132285266878
entry,0.23633132285266878
calibration,0.2139056478021925
pressure,0.18922770104503916
abnormal,0.17007797639656955
noticed,0.17007797639656955
readings,0.16446500614429116
seal,0.16082509952836238
suction,0.14846439179264836
asset,0.1452558911308292
technician,0.14367920902933573
visible,0.14055097841190056
recommended,0.13664144535570721
observed,0.13524467186208683
required,0.13158080482895665
intervention,0.13158080482895665
scheduled,0.12221693990561261
reporting,0.12221693990561261
erratic,0.12221693990561261
signals,0.12221693990561261
completed,0.11526525904035437
advised,0.10304791267055764
unit,0.10304791267055764
cooling,0.10304791267055764
spike,0.10304791267055764
condition,0.09724675337754578
maintenance,0.09724675337754578
good,0.09724675337754578
general,0.09724675337754578
require,0.09505848618398938
intermittent,0.09505848618398938
bearings,0.09505848618398938
channel,0.09147605356255963
spurious,0.09147605356255963
telemetry,0.09147605356255963
wildly,0.08862967505288337
connection,0.08862967505288337
fluctuating,0.08862967505288337
shift,0.0821599276406423
fluctuation,0.0821599276406423
leakage,0.072052372110684
smoothly,0.06038196988334095
temp,0.06038196988334095
running,0.06038196988334095
deviation,0.060274827687279015
shaft,0.04976513367480979
slightly,0.04976513367480979
axis,0.04976513367480979
anomalies,0.0336597482057989
checkup,0.033659748205798784
regular,0.033659748205798784
misalignment,0.009689507549635299
drop,-0.01089947059344592
routine,-0.026349497204186927
integrity,-0.03319366348396291
present,-0.03319366348396291
inspected,-0.03319366348396291
holds,-0.03319366348396291
blockage,-0.03435954599978674
flow,-0.03435954599978674
rate,-0.03435954599978674
build,-0.04264460142998018
potential,-0.07747711306155464
normal,-0.12448188356294933
operating,-0.17660136028699697
parameters,-0.5557437797721881
