Case,Test Index,True Label,Predicted Probability,Diagnostic Threshold,Rank,Feature,Feature Value,SHAP Contribution,Abs SHAP Contribution
TP,16974,1,0.8010250032116321,0.5,1,time_since_last_maintenance,2.298860248100402,5.120716094970703,5.120716094970703
TP,16974,1,0.8010250032116321,0.5,2,vibration_rms,4.996167740168932,3.5092763900756836,3.5092763900756836
TP,16974,1,0.8010250032116321,0.5,3,age,2.0725656180881082,2.6740803718566895,2.6740803718566895
TP,16974,1,0.8010250032116321,0.5,4,vibration_kurtosis,5.58965718731488,1.1705278158187866,1.1705278158187866
TP,16974,1,0.8010250032116321,0.5,5,duty_cycle,-1.2421762490004071,0.7453646063804626,0.7453646063804626
TP,16974,1,0.8010250032116321,0.5,6,temp_deviation,4.868767507530889,0.5642207860946655,0.5642207860946655
TP,16974,1,0.8010250032116321,0.5,7,load_factor,-0.01588683543593715,0.3378010094165802,0.3378010094165802
TP,16974,1,0.8010250032116321,0.5,8,operating_hours,-0.014075735631816163,-0.404261976480484,0.404261976480484
FP,20061,0,0.7996242130362956,0.5,1,time_since_last_maintenance,2.3170953607472584,6.008853912353516,6.008853912353516
FP,20061,0,0.7996242130362956,0.5,2,age,1.067938782467375,1.7351880073547363,1.7351880073547363
FP,20061,0,0.7996242130362956,0.5,3,operating_hours,2.0611233043543815,1.088463544845581,1.088463544845581
FP,20061,0,0.7996242130362956,0.5,4,ambient_temp,-1.120126957892588,0.6233512759208679,0.6233512759208679
FP,20061,0,0.7996242130362956,0.5,5,vibration_kurtosis,3.536960023837848,0.5496901273727417,0.5496901273727417
FP,20061,0,0.7996242130362956,0.5,6,acoustic_level,2.9656129892383283,0.45471131801605225,0.45471131801605225
FP,20061,0,0.7996242130362956,0.5,7,previous_fault_count,1.2326510601363652,0.2392187863588333,0.2392187863588333
FP,20061,0,0.7996242130362956,0.5,8,duty_cycle,1.4007519403621616,-0.2025192826986313,0.2025192826986313
FN,18765,1,0.013173318656030249,0.5,1,vibration_rms,3.7152886059212786,0.9492318034172058,0.9492318034172058
FN,18765,1,0.013173318656030249,0.5,2,previous_fault_count,0.024854557442686557,0.29901906847953796,0.29901906847953796
FN,18765,1,0.013173318656030249,0.5,3,asset_type_Pump,1.0,0.24145440757274628,0.24145440757274628
FN,18765,1,0.013173318656030249,0.5,4,age,0.19968663041506685,-0.259980171918869,0.259980171918869
FN,18765,1,0.013173318656030249,0.5,5,site_id_Plant_5,1.0,-0.5890284776687622,0.5890284776687622
FN,18765,1,0.013173318656030249,0.5,6,ambient_temp,-1.8636048001015288,-0.8423817753791809,0.8423817753791809
FN,18765,1,0.013173318656030249,0.5,7,operating_hours,0.199965744721313,-0.9893501996994019,0.9893501996994019
FN,18765,1,0.013173318656030249,0.5,8,time_since_last_maintenance,1.113577926054725,-4.223303318023682,4.223303318023682
TN,2764,0,0.013171131214876713,0.5,1,site_id_Plant_1,1.0,-0.3460299074649811,0.3460299074649811
TN,2764,0,0.013171131214876713,0.5,2,vibration_kurtosis,-0.505201567132344,-0.35423073172569275,0.35423073172569275
TN,2764,0,0.013171131214876713,0.5,3,humidity,-0.033734639943189156,-0.461373507976532,0.461373507976532
TN,2764,0,0.013171131214876713,0.5,4,ambient_temp,-1.7303537493253545,-0.47370922565460205,0.47370922565460205
TN,2764,0,0.013171131214876713,0.5,5,operating_hours,1.945741568851523,-0.48025113344192505,0.48025113344192505
TN,2764,0,0.013171131214876713,0.5,6,acoustic_level,0.40588827101703595,-0.5397120714187622,0.5397120714187622
TN,2764,0,0.013171131214876713,0.5,7,vibration_rms,-0.044336324701339795,-0.639065146446228,0.639065146446228
TN,2764,0,0.013171131214876713,0.5,8,time_since_last_maintenance,0.2200574063587531,-8.193161964416504,8.193161964416504
